Código;Espacialidades;Índice de Gini 2000;Índice de Gini 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;% de pobres 2010
3102803;Andrelândia;0,61;0,51;0,7;0,675;0,818;0,621;14,75
3502200;Angatuba;0,55;0,45;0,719;0,693;0,827;0,648;6,84
3102852;Angelândia;0,64;0,53;0,597;0,594;0,756;0,473;34,97
5000856;Angélica;0,49;0,42;0,697;0,692;0,839;0,582;7,29
2601003;Angelim;0,6;0,58;0,572;0,555;0,751;0,448;48,55
4200903;Angelina;0,49;0,47;0,687;0,699;0,797;0,581;9,69
2901403;Angical;0,51;0,54;0,625;0,564;0,778;0,556;41,72
2200608;Angical do Piauí;0,51;0,6;0,63;0,61;0,737;0,555;35,52
1701051;Angico;0,52;0,47;0,648;0,576;0,773;0,612;29,18
2400802;Angicos;0,58;0,51;0,624;0,606;0,756;0,53;29,17
3300100;Angra dos Reis;0,53;0,5;0,724;0,74;0,846;0,605;6,69
2901502;Anguera;0,52;0,48;0,589;0,565;0,766;0,471;38,32
4101150;Ângulo;0,52;0,44;0,721;0,705;0,827;0,644;4,34
5201207;Anhanguera;0,41;0,39;0,725;0,724;0,802;0,657;1,85
3502309;Anhembi;0,55;0,42;0,721;0,681;0,863;0,637;6,42
3502408;Anhumas;0,46;0,42;0,741;0,683;0,845;0,706;6,9
5201306;Anicuns;0,57;0,46;0,714;0,695;0,834;0,627;8,31
2200707;Anísio de Abreu;0,54;0,52;0,594;0,534;0,768;0,512;48,41
4201000;Anita Garibaldi;0,56;0,5;0,688;0,667;0,826;0,592;19,41
4201109;Anitápolis;0,56;0,44;0,674;0,699;0,836;0,524;7,66
1300102;Anori;0,58;0,6;0,561;0,54;0,757;0,433;52,29
4300703;Anta Gorda;0,45;0,34;0,74;0,742;0,868;0,63;1,87
2901601;Antas;0,5;0,52;0,592;0,573;0,739;0,491;38,43
4101200;Antonina;0,56;0,55;0,687;0,686;0,838;0,564;17,27
2300804;Antonina do Norte;0,59;0,51;0,599;0,55;0,772;0,506;43,92
2200806;Antônio Almeida;0,48;0,51;0,62;0,579;0,781;0,527;33,76
2901700;Antônio Cardoso;0,54;0,46;0,561;0,544;0,768;0,422;37,58
3102902;Antônio Carlos;0,54;0,47;0,683;0,65;0,838;0,584;16,85
4201208;Antônio Carlos;0,44;0,43;0,749;0,768;0,89;0,615;1,01
3103009;Antônio Dias;0,53;0,48;0,645;0,624;0,849;0,507;22,14
2901809;Antônio Gonçalves;0,51;0,51;0,598;0,58;0,741;0,498;35,74
5000906;Antônio João;0,51;0,54;0,643;0,633;0,799;0,526;25,93
2400901;Antônio Martins;0,57;0,51;0,578;0,554;0,76;0,458;42,55
4101309;Antônio Olinto;0,53;0,49;0,656;0,626;0,825;0,547;23,67
4300802;Antônio Prado;0,49;0,41;0,758;0,777;0,835;0,671;1,14
3103108;Antônio Prado de Minas;0,54;0,47;0,684;0,674;0,83;0,572;12,08
2500775;Aparecida;0,61;0,51;0,578;0,567;0,747;0,456;38,01
3502507;Aparecida;0,53;0,46;0,755;0,735;0,828;0,706;4,54
5201405;Aparecida de Goiânia;0,46;0,47;0,718;0,716;0,834;0,62;5,22
3502606;Aparecida D'Oeste;0,55;0,47;0,721;0,697;0,804;0,67;7,74
5201454;Aparecida do Rio Doce;0,44;0,49;0,693;0,7;0,814;0,583;12,41
1701101;Aparecida do Rio Negro;0,46;0,48;0,651;0,593;0,791;0,588;29,85
5001003;Aparecida do Taboado;0,52;0,46;0,697;0,717;0,804;0,588;6,02
3300159;Aperibé;0,55;0,43;0,692;0,67;0,785;0,631;9,4
3200508;Apiacá;0,57;0,53;0,673;0,659;0,841;0,549;21,7
5100805;Apiacás;0,53;0,46;0,675;0,666;0,809;0,57;12,73
3502705;Apiaí;0,6;0,55;0,71;0,662;0,835;0,647;21,67
2100832;Apicum-Açu;0,55;0,52;0,568;0,529;0,718;0,483;51,98
4201257;Apiúna;0,47;0,39;0,708;0,735;0,827;0,584;2,95
2401008;Apodi;0,53;0,55;0,639;0,611;0,747;0,571;31,03
2901908;Aporá;0,57;0,56;0,548;0,516;0,751;0,425;55,3
5201504;Aporé;0,67;0,45;0,693;0,692;0,823;0,584;5,72
2901957;Apuarema;0,52;0,46;0,552;0,555;0,735;0,413;39,49
4101408;Apucarana;0,51;0,45;0,748;0,741;0,845;0,668;3,09
1300144;Apuí;0,76;0,56;0,637;0,621;0,772;0,54;26,84
2300903;Apuiarés;0,57;0,54;0,618;0,536;0,741;0,593;49,77
2800209;Aquidabã;0,54;0,54;0,578;0,573;0,747;0,452;41,87
5001102;Aquidauana;0,64;0,56;0,688;0,69;0,84;0,562;17,36
2301000;Aquiraz;0,57;0,48;0,641;0,608;0,788;0,55;24,19
4201273;Arabutã;0,52;0,45;0,733;0,744;0,863;0,614;7,77
2500809;Araçagi;0,51;0,53;0,549;0,54;0,745;0,412;47,59
3103207;Araçaí;0,49;0,42;0,695;0,659;0,805;0,632;11,04
2800308;Aracaju;0,63;0,62;0,77;0,784;0,823;0,708;11,11
3502754;Araçariguama;0,53;0,46;0,704;0,717;0,814;0,597;5,2
2902054;Araças;0,52;0,53;0,57;0,54;0,744;0,462;45,82
2301109;Aracati;0,55;0,53;0,655;0,607;0,742;0,624;31,68
2902005;Aracatu;0,55;0,45;0,581;0,591;0,754;0,439;28,51
3502804;Araçatuba;0,62;0,52;0,788;0,782;0,841;0,744;3,14
2902104;Araci;0,58;0,57;0,534;0,534;0,747;0,381;52,7
3103306;Aracitaba;0,51;0,42;0,661;0,608;0,823;0,577;23,13
2301208;Aracoiaba;0,56;0,51;0,615;0,55;0,759;0,556;42,69
2601052;Araçoiaba;0,53;0,45;0,592;0,544;0,765;0,498;36,6
3502903;Araçoiaba da Serra;0,53;0,52;0,776;0,751;0,86;0,723;4,14
3200607;Aracruz;0,59;0,5;0,752;0,717;0,838;0,707;9,67
5201603;Araçu;0,45;0,53;0,693;0,686;0,838;0,578;11,42
3103405;Araçuaí;0,62;0,57;0,663;0,633;0,821;0,56;29,55
5201702;Aragarças;0,52;0,45;0,732;0,694;0,83;0,68;7,5
5201801;Aragoiânia;0,51;0,45;0,684;0,683;0,837;0,56;9,96
1701309;Aragominas;0,55;0,54;0,593;0,611;0,739;0,461;33,63
1701903;Araguacema;0,71;0,56;0,639;0,587;0,805;0,553;36,69
1702000;Araguaçu;0,56;0,49;0,675;0,642;0,796;0,602;18,59
5101001;Araguaiana;0,52;0,43;0,687;0,671;0,817;0,591;9,57
1702109;Araguaína;0,6;0,56;0,752;0,727;0,821;0,712;11,18
5101209;Araguainha;0,36;0,4;0,701;0,65;0,844;0,627;9,69
1702158;Araguanã;0,72;0,52;0,604;0,617;0,756;0,473;25,5
2100873;Araguanã;0,67;0,52;0,533;0,483;0,706;0,444;60,27
5202155;Araguapaz;0,65;0,53;0,674;0,696;0,814;0,54;9,57
3103504;Araguari;0,55;0,47;0,773;0,74;0,871;0,716;4,22
1702208;Araguatins;0,6;0,57;0,631;0,604;0,793;0,525;36,03
2100907;Araioses;0,61;0,59;0,521;0,497;0,709;0,402;57,65
5001243;Aral Moreira;0,58;0,53;0,633;0,628;0,798;0,507;26,82
2902203;Aramari;0,6;0,51;0,588;0,568;0,761;0,47;39,06
4300851;Arambaré;0,52;0,48;0,691;0,694;0,833;0,57;11,37
2100956;Arame;0,54;0,72;0,512;0,525;0,701;0,365;64,91
3503000;Aramina;0,48;0,43;0,74;0,723;0,856;0,656;3,04
3503109;Arandu;0,44;0,39;0,685;0,675;0,806;0,592;6,53
3103603;Arantina;0,42;0,42;0,697;0,633;0,834;0,641;18,11
3503158;Arapeí;0,45;0,39;0,68;0,634;0,812;0,612;15,5
2700300;Arapiraca;0,57;0,55;0,649;0,638;0,78;0,549;26,65
1702307;Arapoema;0,62;0,51;0,68;0,645;0,81;0,601;20,89
3103702;Araponga;0,5;0,44;0,536;0,597;0,76;0,339;24,49
4101507;Arapongas;0,5;0,46;0,748;0,751;0,834;0,669;2,49
3103751;Araporã;0,58;0,41;0,708;0,676;0,813;0,646;7,81
4101606;Arapoti;0,71;0,57;0,723;0,715;0,823;0,643;14,17
3103801;Arapuá;0,52;0,45;0,724;0,718;0,871;0,608;3,03
4101655;Arapuã;0,48;0,5;0,676;0,638;0,828;0,584;23,92
5101258;Araputanga;0,59;0,5;0,725;0,704;0,826;0,655;9,03
4201307;Araquari;0,48;0,4;0,703;0,696;0,83;0,602;4,69
2500908;Arara;0,51;0,54;0,548;0,569;0,712;0,407;42,53
4201406;Araranguá;0,51;0,45;0,76;0,745;0,853;0,691;2,9
3503208;Araraquara;0,52;0,5;0,815;0,788;0,877;0,782;2,64
